par_nr	head	sentence
25	NA	" "" Nojah , aga kirurgiks ei saa ju ise õppida nagu kunstnikuks , "" arutlesin mina . "
26	NA	" "" He-hee , muidugist , kuid tõeliselt hea kirurg peaks kõigepealt ikka ka oma sisetunnet kuulama , enne kui skalpelli kätte võtab . "
26	NA	" Või mis preili arvab ? "" "
27	NA	" "" Jah , mina arvan ka , et süda ja mõistus peaksid koostööd tegema , siis tulevad igal alal parimad tulemused . "" "
28	NA	" "" Aga kuna mõistus on olnud enamasti ainuvalitseja , siis sellest kõik maailma hädad alguse on saanudki , "" pani Samuel nüüd meie vestlusele piraka punkti . "
28	NA	 Ta pani pliiatsi käest ja takseeris pilti , mida ta meie jutuajamise käigus oli visandanud . 
29	NA	" "" Näita nüüd mulle ka , mis sa seekord joonistasid ! "" palusin mina . "
30	NA	 Samuel vaatas mulle kavalal pilgul otsa , sirgeldas veel midagi pliiatsiga , ning andis siis joonistusploki minu kätte . 
30	NA	 Ja sealt vaatasin vastu mina , Viljaküla Brita . 
31	NA	" "" Selles näos on ilu ja iseloomu , eks ole ? "" märkis Samuel naeru kihistades . "
32	NA	 Hakkasin naerma . 
32	NA	" "" Ega Brital viga ole jah . "" "
33	NA	" "" Kui mehele lähed , siis jätad selle pildi tädi Klarale seltsiks . "" "
34	NA	" "" Kuhu kohta ma lähen ? "" küsisin ma lolli nägu tehes . "
35	NA	" "" Mehele , noh . "" "
36	NA	" "" Ah seesama vana jutt , et kõik naiste teed viivad mehele , jah ? "
36	NA	" Aga kes mind ikka tahab ? "" "
37	NA	" "" Kuda nii ? "" "
38	NA	" "" Mul on parajal määral arenenud ja pidevalt sõnavõtuvalmis huumorisoon , "" teadustasin mina ja purskasin naerma . "
38	NA	" "" Ma olen kuulnud , et säärased naisterahvad on mehepoegade suurim hirm . "
38	NA	" The worst nightmare , noh . "" "
39	NA	 Samuel naeris äkki nii hullusti , et hakkas lõpuks luksuma . 
39	NA	" "" Aga kas pole kõige hirmutavam just see , kui naisterahva repertuaar koosneb ainult sõnadest "" jah "" ja "" aamen "" ? "" "
40	NA	 Selle jutu peale saime mõlemad jälle paraja naeruteraapia kuuri . 
41	NA	" "" Sa oled nii tore , Samuel ! "
41	NA	" Selline teistmoodi , "" ütlesin ma lõpuks , kui olime maha rahunenud . "
41	NA	" "" Sinuga saab igasugu asju arutada , sa tõepoolest ei arva , et pea on ainult juuste kandmiseks , kui juhtud naisterahvas olema . "" "
42	NA	" "" Tänan komplimendi eest , kulla preili ! "" "
43	NA	 Tõusin trepilt püsti . 
43	NA	 Märtsilõpu päike paistis juba õige kuumalt ja mul oli olnud ütlemata tore laupäeva pärastlõuna . 
43	NA	" "" Sain oma raamatu tarvis jälle tublisti ainet , "" ütlesin Samuelile , panin oma kirjutamistarbed kotti ja hakkasin kodu poole astuma . "
44	 3 . 	 3 . 
45	NA	 Mööda külavaheteed kodu poole sammudes märkasin juba kaugelt eemalt Chrisi . 
45	NA	 Ligemale jõudes nägin , et ta parandas aeda . 
46	NA	" "" Tormituuled on tolle päris kreeni ajand , "" teadustas ta mulle . "
46	NA	" "" Kui mõni paraja auru all tegelane peaks siia vastu vajuma , siis oleks ta kogu täiega maoli maas . "
46	NA	" Järelikult — nii lakkekrantside kui ka aia edasise eksistentsi huvides püüan viimase ära parandada , enne kui hilja . "" "
47	NA	" "" Ma mõtlesingi , et ei tea , mis valu sind on lõpuks välja ajand — talv otsa oled toas istund ja raamatuid tudeerind . "
47	NA	" Äkki on kevad südames või nii ? "" "
48	NA	" "" Eks vahest tuleb end veidi luhvtitada ka , muidu lähvad ajud sõlme ja silme eest siiruviiruliseks , kops kobib ribide alt välja , et vaadata , kuhu see värske õhk nii kauaks toppama on jäänd ja süda saab kogu sest segadusest ajuvapustuse . "" "
48	NA	 Chris vidutas kavalalt silmi ja kõhistas naerda . 
49	NA	" "" Rahval on ütlemata tore teada saada , et sinu huumorisoon pole ikka veel umbe läind , "" märkisin ma naerdes . "
50	NA	" "" Neil , kes su memuaaridele järge ootavad või ? "
50	NA	 Vaata , sa pane sinna kirja , et huumorisoone umbeminek märgib täiskasvanuks saamise algust . 
50	NA	 Nii et kui sa enam naljast aru ei saa , siis on sinu diagnoos : täiskasvanu . 
50	NA	 Ja sellest tõvest , muuseas , paranevad väga vähesed . 
50	NA	" Võiks öelda , et tegelikult on too haigus praktiliselt ravimatu . "" "
51	NA	" "" Aga miskipärast peavad inimesed läbinisti täiskasvanuks olemist ütlemata väärtuslikuks , "" mõtisklesin mina . "
52	NA	" "" Vaevalt et keegi sellest t e g e l i k u l t rõõmu tunneb , kui tal lillakaspunane furunkel nina otsas on , "" itsitas Chris . "
52	NA	" "" Kuid kõik teevad näo , et oh , pole midagi , küll läheb üle . "
52	NA	 Aga enne , kui üle läheb , jõuab ta su elu päris põrguks teha . 
52	NA	" Ja lõpuks jääb järele arm , mis toda painajat ikka iga kell meelde tuletab . "" "
53	NA	" "" No leidsid sina ikka paraja võrdluse , "" olin mina naerust päris kõveras . "
53	NA	 Lõpuks suutsin oma kirjutamistarbed kotist välja koukida , et märkmeid teha . 
